portrait,topic
tb.1.638a721d.SfLMAmjoJlA_Ci_JeFbKYQ,"(0.13102942417419308, 0.02508221520567658, 0.3111903513512999, 0.20989452614084644, 0.2549474344321988, 0.06785604869578524)"
tb.1.641700ec.mnXdyYUD4LGcvQS0wl1eOg,"(0.30047634661627926, 0.20620744176712985, 0.021349005425474014, 0.026318706750456052, 0.4455589615222056, 8.953791845519015e-05)"
tb.1.642819ad.tPhGNrFwpvmad3aR5OWu6Q,"(0.24962537522854575, 0.5809231012890935, 0.03962492659160746, 0.0668123180749018, 0.0120790511524788, 0.05093522766337253)"
tb.1.651b044e.mIGJexpA7lsXhJtZq-u_9A,"(0.14323331261187427, 0.0730587205540678, 0.13225460540894035, 0.25020881421382496, 0.29787898833546245, 0.1033655588758301)"
tb.1.65f5a380.9gZjhPPa_98t6i2wjTfD6g,"(0.019675259688487767, 0.07204521923313018, 0.21665596723958416, 0.06979134874371233, 0.28840813644742325, 0.3334240686476622)"
tb.1.66c143d8.N4JCJtYuG3ZFn89YmVlTCQ,"(8.79143765742118e-08, 1.0123867975168311e-07, 9.540157204332365e-08, 7.952392626142155e-08, 1.1221536253366257e-07, 0.9999995237060828)"
tb.1.66d3b318.GovcPn82Y_xlxlX3vBeoWw,"(0.1227327318011361, 0.154767151363649, 0.2560039313743256, 0.1661033716672214, 0.27264106457196396, 0.027751749221703904)"
tb.1.67230bff.xKvghn0ndpJzmTTTqT1u2g,"(0.07152202274676414, 0.3362597419807232, 0.05250178501382279, 0.17714034863219064, 0.3361606677601147, 0.026415433866384543)"
tb.1.6764cd8c.14yuXvWcdZ8hVyynzHeKLw,"(0.019602246352229524, 0.5133067871166263, 0.4031937236559062, 0.011381345293138787, 0.03452494955849523, 0.017990948023603726)"
tb.1.67b1a3a2.AezxGOq3NcRsjdR_30z7zg,"(0.2777188684261118, 0.08090281753082833, 0.16596566039175042, 0.29487563676282585, 0.12346751122940185, 0.057069505659081705)"
tb.1.67f4aded.Gups5WB4qN3unU7iYzeTUQ,"(0.13439444418628654, 0.03515645514635628, 0.6006527349931516, 0.21344466163996018, 0.012325619018281643, 0.004026085015963767)"
tb.1.687c156._-OY92FZE2ecR2FRcGPKcw,"(0.37577441878580375, 0.016771619545674764, 0.21925277048184266, 0.3558927836428912, 0.024232137706678047, 0.008076269837109486)"
tb.1.68a925ef.a1ZZgSnHCZqLuFPwtISxqQ,"(0.24323462823883116, 0.08915835088150333, 0.0473396202129255, 0.547236184881995, 0.0381714393506106, 0.03485977643413446)"
tb.1.68b4a210.TQx2KLYkMpgj4PLuN6ob5A,"(0.7730999589688062, 0.1008457285275269, 0.0179217095655348, 0.00015544471992700744, 0.10793778425644639, 3.937396175861551e-05)"
tb.1.6951e6da.Rh3eP7ZEyDiz4bsovOcBHQ,"(0.4045292689337765, 0.03574454361963014, 0.16165077172019102, 0.1606299215283866, 0.1265897824291153, 0.11085571176890047)"
tb.1.69fcd029.FRFDW8e26n5VHpot6bgSWg,"(0.22702630808609753, 0.21106641056741896, 0.1610060344856601, 0.18717796443591742, 0.17735350982229595, 0.036369772602610165)"
tb.1.6ac21050.EDC-dHp_7ffWOHYgvbOpeg,"(0.3653014490702444, 0.06451515647141887, 4.435033884038316e-05, 0.5700818269292472, 4.497011003780581e-05, 1.2247080211308092e-05)"
tb.1.6ad123db.QBt-UoW3PZ1ZkU20NEWVSg,"(0.1391228515737464, 0.05400438689077859, 0.30550736595541994, 0.2763830781549331, 0.17381132499314272, 0.05117099243197913)"
tb.1.6b1ef3e4.-Cr-suT0iVapELpy0irUIw,"(0.685748972592771, 0.06664301129990903, 0.05794749321964579, 0.037284837657734854, 0.08129048925336545, 0.07108519597657376)"
tb.1.6b50f051.lB4mPfFTfw94Kf0P5WTYWw,"(2.4919837260246857e-05, 7.2721383285550895e-09, 6.852849428324648e-09, 0.8785348752046886, 0.09223289673977587, 0.0292072940932875)"
tb.1.6be57e9d.F2fkk-Cm6I8V4WL23ex56w,"(0.16886174041750357, 0.2992308412410692, 0.15788069552649261, 0.1861235422563206, 0.1448008838680739, 0.04310229669054006)"
tb.1.6d29da40.EatqpJMna0mbheE1U4Nw6w,"(0.16664128134317235, 0.5408150591511081, 4.8986011495864585e-05, 0.18598631100257978, 1.7791180978076952e-05, 0.10649057131066587)"
tb.1.6d5d80be.eQZAwMwvSj-y0YFDTWPDFQ,"(0.055995829878298015, 0.44177626585691465, 0.015295656152172012, 0.4148223851966368, 0.05882910810313916, 0.013280754812839475)"
tb.1.6d9fccd1.6dTdopU-NjSvALnMdOuZRQ,"(0.09144799049166415, 0.004190934766959832, 2.6891403915292995e-08, 5.502463889268472e-06, 0.9043555062705833, 3.911549962217629e-08)"
tb.1.6e1f5b95.UupZdJCpL9RNG5sVwdaC4Q,"(0.21017658253102167, 0.09018705341825581, 0.28813122896832694, 0.24166939281441077, 0.10287338619958987, 0.06696235606839498)"
tb.1.6e6b1270.bwgl43mSgbrS-kmrLm1msQ,"(0.0409528885083189, 0.43608654214388853, 0.1686852153864343, 0.054667310539783874, 0.15570811963815798, 0.14389992378341646)"
tb.1.6edd426e.7P3_NabQVmkyhVxp0xeaXw,"(0.011811940184384967, 0.05542056566500475, 0.07234764791955788, 0.009222331143437177, 0.7173685703512295, 0.13382894473638576)"
tb.1.6efadc70.aUChf0FeJIYYAGC9ouyNrA,"(0.0650270916010228, 0.15897937941384666, 0.27843216751331745, 0.24379708705617445, 0.07354045078748056, 0.1802238236281581)"
tb.1.6f882d1c.IRGAM3fGqvdqLMHllkw7EQ,"(0.014987511629762624, 3.649267964781227e-06, 2.069263477710559e-09, 1.7248767781539205e-09, 0.2434189428144175, 0.7415898924937148)"
tb.1.7039f3a8.kzedhaWXfBfPkIxLmO6I3A,"(0.19254150376789247, 0.050647901750417, 0.06658698945001398, 0.3163673558918421, 0.276690763495499, 0.09716548564433533)"
tb.1.706450ad._S5Rx2snzT80ObQ5hIPLWQ,"(0.2668420340786521, 0.18504810533635643, 0.3266411362140585, 0.0656098326688487, 0.11673137003593373, 0.039127521666150564)"
tb.1.70d2794d.mzKHNjhI9PcHLgNnX3dBUQ,"(0.15192610685009308, 0.3144147099372769, 0.01589963936210243, 0.37746294666434604, 0.0040930401519454025, 0.13620355703423612)"
tb.1.70ee3dd7.HjRIejaWTvkBowkrJSh6mQ,"(0.0791673946994907, 0.014381714270894406, 0.009200920740241918, 0.6765696488339249, 0.21751423756458407, 0.003166083890863871)"
tb.1.72cf86cc.DVl5nBMzECbF8x1CVBQKEA,"(0.231764495616757, 0.10963568712747501, 0.06451951802247895, 0.46810414989151283, 0.11901343973149096, 0.0069627096102852105)"
tb.1.73713306.gEy3fwjSVNLiQOGyeexCMw,"(0.14025916082414183, 0.21706293307285426, 0.2126806571188647, 0.13317526682890302, 0.1916611112329361, 0.10516087092230006)"
tb.1.74e5fc29.AA1Vr9AJVzgrlXUKD3ACKg,"(0.33052897268165404, 0.08364936901411504, 0.1696052681341416, 0.24859752338459215, 0.13869349642195236, 0.028925370363544874)"
tb.1.7517876a.wGI2-LQvnZ8y5KFA3dfkcg,"(0.7623963583291127, 0.0018563435860200312, 0.05473130348131391, 0.08760114465356157, 0.009361271617783665, 0.0840535783322083)"
tb.1.754dcc53.xEJukV7xL42B6yIC580W2g,"(0.011207601926791872, 0.02472948388823053, 0.01291841101398253, 0.7881497980065404, 4.7179316100238875e-06, 0.1629899872328446)"
tb.1.75cc072b.Nap5No4YN7XRwI9unKDPkA,"(0.17849845884879356, 0.11907099302445187, 0.29286929885744456, 0.3398250082279116, 0.04528645746681529, 0.024449783574582957)"
tb.1.75cfc607.pzEi2aMtWdw0tolzuOIIWQ,"(0.2036813119746953, 0.04136968446711222, 0.08631653045886328, 0.3044571158288335, 0.04555257464090119, 0.3186227826295945)"
tb.1.76b4e618.rnL1FovIKT3gYq8N8D1daA,"(0.5092283899272653, 0.29876143057299537, 0.03843694684495423, 0.05050252784596684, 0.10267830913468141, 0.00039239567413680196)"
tb.1.77663002.0B-XZbAG3rWeLqkiYDdufw,"(0.04298266155004771, 0.14547274946418592, 0.5303799279200089, 0.26092210459823634, 0.020239080390596294, 3.4760769247626797e-06)"
tb.1.777e1834.fE5GwM2GFjPT7DiC5zv86g,"(0.15826070329010908, 0.05484498128881085, 0.23068275478594785, 0.3515437195184462, 0.15840927578558336, 0.04625856533110273)"
tb.1.79746cc8.H2Qul88BTd9HappdZqCqpA,"(3.758442709290677e-08, 0.00015929938584409122, 0.99931653663893, 3.3997411176442606e-08, 0.0003530944891165002, 0.00017099790427106394)"
tb.1.79bdb359.xly-nO2gK-ZAfSnnpzO08A,"(0.058164285719740576, 0.4680568171926325, 0.008810018382012182, 0.006396215076256001, 0.4585492517521765, 2.341187718226725e-05)"
tb.1.7a1367c1.t9iXy3Bhmuvf5vrGoc1WtA,"(0.34112708769381295, 0.006637512033437444, 0.19161632146823138, 0.17247703397367797, 0.05835221940043832, 0.22978982543040194)"
tb.1.7a467089.qQqhiKOs82nwCBLCCyKUdA,"(0.02599484131300163, 0.13344944594370567, 0.2570805020836425, 0.3021754559107838, 0.18524835474395407, 0.09605140000491216)"
tb.1.7b9e90cc.T8K3LsBfzXWzWj2t9JPrfw,"(0.8217466394022384, 0.010753353870971176, 0.0737310501736537, 0.06855857589628486, 0.008398647822359866, 0.01681173283449215)"
tb.1.7ceb4216.7qz6hLqkUgbGmX0ceEld_A,"(0.18161645154022316, 0.1089308643235764, 0.17548830912000157, 0.2636386578585572, 0.15116546425526003, 0.11916025290238151)"
tb.1.7db0c6af.IMPzRkOTrEIjIlZwyCJBYA,"(4.720620207558172e-05, 0.006028400855706421, 0.8823039901049914, 5.671990386696636e-05, 0.024392737971863712, 0.08717094496149594)"
tb.1.7dc529d4.G3mF3WXl7J4JONFDGpGPYw,"(0.20393811358248945, 0.05231277541125163, 0.22674562677865784, 0.34090546656473025, 0.17187087496905334, 0.004227142693817486)"
tb.1.7de7f827.oeUIkWgfQ10lIl3KWLKf2Q,"(0.1143550296197286, 0.0006491709322334765, 0.7291161097075504, 0.09993031213018276, 0.05458093844308806, 0.0013684391672166576)"
tb.1.7e290a56.qWg0yvM6oIGN7ryV8VzYjA,"(0.20041323442578984, 0.16601265435726464, 0.4478382422028369, 0.030371296243130314, 0.15384778613915567, 0.001516786631822496)"
tb.1.7e5702f2.oy04Z-_sjixaWkmd0vTYSA,"(0.11389994332118467, 0.02288591836238937, 0.714269950012406, 0.1488803080974807, 4.491233200143306e-05, 1.8967874537944578e-05)"
tb.1.7f123aef.WR1OoXA0tBWB_9GWUUstIg,"(0.21286104226676061, 0.1013493534573579, 0.15313798571705828, 0.26373001383518346, 0.08566368505612902, 0.18325791966751098)"
tb.1.7f6c8a60.tNpjbvQ6PW6u2Eo-DezdKA,"(0.06858477559542457, 0.04715127059097382, 0.0535076080000586, 0.769225689208132, 0.0519403167488858, 0.009590339856525307)"
tb.1.7fcd57f.Eq7475XsDoAH_YPL8X-DUQ,"(0.3674991980219223, 0.08482984759856163, 0.12190685699519879, 0.3657777653054972, 0.05503189694005365, 0.004954435138766265)"
tb.1.80409146.K6qKDGpb_eDtLRBQN2U4cw,"(5.173170961748021e-08, 5.957216768238338e-08, 5.613742159486596e-08, 0.9998435776062784, 0.00015617329646664535, 8.165595593672841e-08)"
tb.1.804f0bcf.N-g39lGJ1KQo0Cf2O3Lezw,"(0.002893131614112521, 0.05611778392517451, 0.06709508269052242, 0.00011139408711162409, 0.867854916638226, 0.005927691044852909)"
tb.1.80bbcfb7.JPB4oc4izWMJJcgIJw-JsA,"(0.2278261820964224, 3.7152890002068353e-05, 0.07556798132797668, 0.12111124603406918, 0.46641049966196374, 0.10904693798956587)"
tb.1.81a23622.eJQPxcZymMz99oxgEM1K8w,"(0.22042151348068, 0.008735456839362825, 0.23933008030281006, 0.44563829146595446, 0.059399027774827896, 0.026475630136364836)"
tb.1.81ecb5f7.14XrMi8HkWu9Lj-tnE7NBw,"(0.14280022199410647, 0.049382864270405336, 0.020650896944819315, 0.20583883242175427, 0.16831609720542529, 0.41301108716348944)"
tb.1.82577add.Wbu_Ov8Y_Arzyt2-pvlZ3Q,"(0.0985168563908105, 0.023447194817015522, 0.3933614986018221, 0.18559282953846232, 0.15065695777295243, 0.14842466287893705)"
tb.1.8276a309.5_ncOLtjgDM8bTjXfMJfpw,"(0.4635913419517944, 0.020836631532337516, 0.07696847889354418, 0.09962278546996473, 0.25458352345848795, 0.08439723869387124)"
tb.1.82dad10d.a2fJgk1H6K5fUvWpXSLEXA,"(0.22544183327263098, 0.16038097788022854, 0.14622869354267937, 0.22721007807794208, 0.16984805138591483, 0.07089036584060397)"
tb.1.83ad6cf.oTB0UQrQMfjb7xV8RlkyWg,"(0.1018405417072463, 0.0576971930764916, 0.12566059434955695, 0.41062676772404066, 0.20125987252766156, 0.10291503061500289)"
tb.1.84641c74.QpBV553wbAj6CxTYDJFTqQ,"(0.16272572173217256, 0.05628858207241913, 0.2013885779803991, 0.3760265704203732, 0.12283728707296852, 0.08073326072166757)"
tb.1.84c94396.qVcQKrOrKZpD3pl_5ap5OQ,"(0.09414065157162259, 0.5428118157175625, 0.09831505800086172, 0.12684274909880763, 0.10478404146714737, 0.03310568414399815)"
tb.1.851fc9b1.GqqIFUNwvKciulc-kvuEdA,"(0.16984194680995135, 0.08634767455654445, 0.2776863906703529, 0.19921640712687708, 0.14967936189466713, 0.1172282189416072)"
tb.1.853ee2e7.dxaV6mE87e68icPhoSvrOQ,"(0.13225864905111284, 0.17243071193310638, 0.10622463116155631, 0.1519217758027161, 0.09397680991638425, 0.34318742213512415)"
tb.1.8565552.j7gaPUD55kG1d7RqG3co4Q,"(0.19500041770343424, 1.7470004875318313e-05, 0.21365677505599506, 1.0673659705684789e-05, 0.5615867812135082, 0.029727882362481455)"
tb.1.86af11c3.BT3foROxRbvqHPS0kzkFVg,"(0.025117551944807484, 0.8997077634180211, 8.65020471279139e-05, 0.024577966791912417, 0.0001929602195044154, 0.050317255578626686)"
tb.1.875e160f.XfmWeygETBlg2XjNTmfbVg,"(0.0235580040601503, 0.28043171791208177, 0.24003188649702173, 0.06427294668065477, 0.03520046771662278, 0.3565049771334687)"
tb.1.8854128d.5uA0wB2MF1GjXvMfmzAC5w,"(5.068047869724144e-05, 8.268166618358582e-06, 0.027273630619442116, 0.9255477553984053, 0.03102821247124166, 0.01609145286559537)"
tb.1.88cdc772.7b8MVBbzD81zefPbKeHhUg,"(0.10545885929290988, 0.862792664462912, 0.00013033352190676618, 0.0003823728598684363, 0.0001471727122277612, 0.031088597150175)"
tb.1.899e2729.qo1B8H4X-sRy5kb_wGzl4g,"(0.15041535450414933, 0.14742362893507074, 0.14213690461955134, 0.38861630126708435, 0.09058418161450042, 0.08082362905964378)"
tb.1.8a1a6db8.8SuwVXpUX3rYR6DrykJiHA,"(0.009520263519436589, 0.0013296374291900833, 5.8099541226612654e-05, 0.034908232213265895, 0.9237442120888072, 0.03043955520807348)"
tb.1.8ac082b2.Tsrie500-irD63Ez65F23w,"(0.2947296487265454, 0.0012838258337708336, 0.008286157270115444, 0.47523772061065794, 0.0018645897389653937, 0.218598057819945)"
tb.1.8bb310c4.AQRWXFunYifcpoPFCwjg4g,"(0.06206521242739449, 0.07910660772895589, 0.5905835513716415, 0.09713542271022622, 0.1594162636232193, 0.01169294213856242)"
tb.1.8d82e2d5.s0Mg8nHf-gQDgsIalv0HwQ,"(9.737879232894812e-06, 0.009056124206066257, 0.00032592850227939496, 0.03246892329878318, 0.027673711005910772, 0.9304655751077273)"
tb.1.8dcbb82e.ZuEC1ketIGobKq9cDX5QyA,"(0.0005020720724870023, 0.007205374513838974, 0.0013626306383667938, 0.8653432214341774, 0.048710652860702315, 0.07687604848042745)"
tb.1.90aa2ee8.BQsw1wZW3S81gLnMl94_CA,"(0.171604172381225, 0.05291211539538929, 0.24437068478268673, 0.2046834803872235, 0.2646741008210547, 0.061755446232420665)"
tb.1.91339f5c.68wGhL6J3CXWJfF5I7LdOw,"(0.21413016866652113, 2.0393912560369335e-05, 0.045548879970787715, 0.06684050707942266, 0.673452749038691, 7.3013320171800515e-06)"
tb.1.91b6d484.InOjoSHWUjmqU-ruXo8xAA,"(0.030373196612231295, 0.03775031823014614, 0.017521463242158784, 0.8172060673366962, 0.06656203407123061, 0.030586920507536957)"
tb.1.9247447c.s_mr55hDFiTztltfGXpTCA,"(0.0320810521915007, 0.031232300047525925, 0.0720504441127521, 0.6248865081151203, 0.0605451412178312, 0.17920455431526974)"
tb.1.927f4b6d.L_oJlV73k1l0nHwnpH5UuA,"(8.605847742477724e-05, 3.837902322940279e-06, 2.5780994946212074e-08, 0.8123276113065281, 0.18741528864094242, 0.00016717789178673182)"
tb.1.92e1b822.m-bIOjuOejhrxEbyaNLNtg,"(0.019031442166388426, 0.017648800606328088, 0.015248881068976629, 0.12507807513050972, 0.025856996156431503, 0.7971358048713656)"
tb.1.932d6782.5dTrGBddrlE-Mqsbo_cx1Q,"(0.0846978227886602, 0.039017139295853445, 0.2672945758212071, 0.15776341663572022, 0.3991897621367988, 0.052037283321760254)"
tb.1.936edc7a.5e5tB6jA-9KVqM1XUl3PnQ,"(0.3078308432160558, 0.5416108524179624, 5.1009936850547646e-05, 0.09317864012479893, 0.05732654355054917, 2.110753783131794e-06)"
tb.1.95207534.TOsG0e2wRwhq_J-O_LytIw,"(0.000265126173286541, 0.9997347376009765, 3.05138844549816e-08, 2.5435470772384513e-08, 3.589172099670528e-08, 4.438466060119641e-08)"
tb.1.9592d7db.VbtyFFkeXRolE41CrMxykw,"(0.19913525457723757, 0.017321154478994186, 0.21757695220374706, 0.024683315905398878, 0.02346264047596034, 0.517820682358662)"
tb.1.9593d234.ko7La-dlYut2CyssbwOwIA,"(0.2082865857025964, 0.1226254720387928, 0.18902597730498558, 0.25401792540308804, 0.14166406243765012, 0.08437997711288717)"
tb.1.970349eb.UYqcZtOUtiZGotoMOsuyTQ,"(0.0452179977713665, 0.011605009354156464, 1.348218686882091e-05, 0.19453318198574737, 0.7485655723440688, 6.475635779190434e-05)"
tb.1.9787558f.k715PApUAXETwJWWKiPm6w,"(0.18938157320592192, 0.6727409297992715, 9.033689393550733e-06, 0.10129446510802964, 0.03656108460151279, 1.2913595870494624e-05)"
tb.1.984608ca.ZpjKhDegoHk3ELUJ50P9OA,"(0.1547927684415356, 0.03355213932022331, 0.3185802788694143, 0.41684687262861686, 0.016778482169342235, 0.059449458570867655)"
tb.1.9b24335a.ZcZ7mwZQ1tZinUMiITu_fQ,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
tb.1.9b5e3384.MvLDwC8u4kQLBT46FSM-FA,"(0.013147989471181353, 0.03927878723477597, 0.6609724858159657, 0.19205054814049582, 0.08862012039452433, 0.005930068943056798)"
tb.1.9c1e2eed.c8xLIgSAc0CM33siLPmk8Q,"(0.042994809464968586, 0.003111208455257009, 0.2409735805059997, 0.39924656303087125, 0.21420050654348372, 0.09947333199941982)"
tb.1.9c72fa14.QUytAoRsHCXYvNNGInoSQg,"(0.011680925357356257, 0.12778040572927749, 0.3803854009292866, 0.2061915944582354, 0.08564422767293424, 0.18831744585291005)"
tb.1.9ccc587.CYUGvFEFNu7GiIOs4HNE7A,"(0.4026573558341091, 0.2539194197527102, 0.16429123226736483, 0.11646171314946063, 0.04919008959044647, 0.013480189405908671)"
tb.1.9e001bc3.K4xZfDmrxsP2ZLQLqsJydQ,"(2.6560947747929073e-05, 7.196077367898856e-05, 0.04582085362994654, 0.9540665114752795, 7.570855382660111e-08, 1.4037464793133738e-05)"
tb.1.9eb2cf7e.nrEFCV2xMnp3KTbsKPsUbg,"(0.027188498604453677, 0.8244743961828493, 0.03835498952288959, 0.07786592419017997, 0.021834548596713167, 0.010281642902914124)"
tb.1.9eba4251.7EV-IfX7su8QIJVg9S0n6g,"(0.12257415522541665, 0.17781310962002478, 3.084291668981859e-05, 0.6995165534654832, 5.36230063392101e-05, 1.1715766046388099e-05)"
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,"(0.13845772991960392, 0.2588821549882104, 0.1652109797764195, 0.3769174673172727, 0.02314408461645303, 0.03738758338204036)"
tb.1.a116397b.H_7cjKLvWpMs673ZV55yTQ,"(0.8520900795056962, 6.549671131739546e-05, 0.06722212395118965, 0.00010873573957232301, 0.06783847666055545, 0.012675087431669153)"
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,"(0.1236943959751887, 0.1408920137300971, 0.09922311361049321, 0.2620256581638927, 0.20190559836677913, 0.17225922015354922)"
tb.1.a1faa466.gbsAD9jaG7EAyR8p4JkVCQ,"(0.3954933175344963, 0.14891174253811973, 0.1465710969019171, 0.025662036772379437, 0.25004375760275166, 0.03331804865033567)"
tb.1.a24c69cd.IJEfOra1z3C4jN-_-7kRrQ,"(0.07804135420416967, 0.16593568592601862, 0.21926037657645142, 0.11344293253850005, 0.2687910788709212, 0.15452857188393906)"
tb.1.a2ba879f.Z8LycyNuTqYqPcBf6Gp8-w,"(0.24539317913937053, 0.044806603251593746, 0.43264331043835785, 0.047970462043474875, 0.07750694518971676, 0.1516794999374863)"
tb.1.a41fc40e.WfFTlByf9ABY2X8wHugJCg,"(0.04424903153133326, 0.672243587655465, 0.021359881104772896, 0.0001356918634159754, 0.2617630957391521, 0.00024871210586070594)"
tb.1.a46f677e.UAs91deYjfDXp1P09eO6gQ,"(0.7569323578738898, 0.03369005329910447, 5.7264563375760986e-05, 0.03183175178207269, 0.06703935601558324, 0.110449216465974)"
tb.1.a5185bbe.jif5QHetqDHaNRAMm12wHw,"(0.012761539454305434, 0.04720684412024989, 0.41909070700640205, 0.5043481957508787, 0.015267167030618232, 0.00132554663754563)"
tb.1.a524f9e9.vwuMySwo53i8H87fyIaJxw,"(0.0001643360045447503, 0.005726113134697062, 0.9872520500359717, 6.598316833545417e-05, 2.4602036307954733e-05, 0.006766915620143083)"
tb.1.a5414b5c.Iaz13V7FEeiXeSAnOu3Neg,"(0.21873505941964072, 0.0061103948882162175, 0.2391864272499742, 0.3181873255928321, 0.11881113051400549, 0.09896966233533136)"
tb.1.a5ca595e.daBql607eMTJyFnAmHijvQ,"(0.06485444374196071, 0.013797995653832603, 0.03523910732465718, 0.46773776892243474, 0.4062114501959005, 0.012159234161214273)"
tb.1.a7d92ec2.TpAsF5OH728bRom45eXYhA,"(0.013899121800356722, 0.07969142850746373, 0.3266545145806959, 0.021572565722560676, 0.042044326396938565, 0.5161380429919845)"
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,"(0.239092296955842, 0.12688500565590316, 0.13828588556472576, 0.16685762556337208, 0.22948470269669854, 0.09939448356345838)"
tb.1.a8e6bce7.M0_fabtmo6Ak0S26_XeJzw,"(0.1788036470684837, 0.10902337829711004, 0.2650314838688298, 0.08620151654973125, 0.2266607232300354, 0.13427925098580984)"
tb.1.a98be111.B3qbvguYdn_xnXC4Umyarg,"(0.51197853239755, 0.07419245359363563, 0.047124531187373676, 0.042752117676711825, 0.3209822375419751, 0.0029701276027539387)"
tb.1.ab0d8296.ksGorAmCXWDqIcST_yYaJw,"(0.20598254710469788, 0.08434550565237522, 0.2618001495582202, 0.08797514356237318, 0.1289412790324289, 0.23095537508990477)"
tb.1.ab16c88.NUyZHzt-Hrn8pFON7fZEiw,"(0.05711773063215233, 0.1314316336160843, 0.060859454590497235, 0.13826258600591912, 0.4569923173574706, 0.15533627779787637)"
tb.1.abb9394d.gZnxgnWk0AqtHf1F4XWxyw,"(0.053484996308771, 0.04184461681557822, 0.11125560451506368, 0.3330620897218999, 3.775508024388394e-05, 0.4603149375584434)"
tb.1.ad1a70d4.-4y7XXFSfsqtVLeyFs0sHQ,"(0.34629604955038745, 0.17007724809240607, 0.07352406148926827, 0.27081867938024107, 0.13569324936007035, 0.003590712127626666)"
tb.1.ad521049.z5p-icE79bcLBVBBipcs4g,"(0.0038219343517345667, 0.35493519272453006, 0.19226510141277556, 0.1428311525922708, 0.10209878724315691, 0.2040478316755322)"
tb.1.adcb6150.pniQjJV8lrd_rQO51LLzCg,"(3.586429046771545e-05, 1.891625509676286e-05, 0.06985220429146669, 5.2314294874468173e-05, 0.9244338185508046, 0.005606882317289763)"
tb.1.adcc4051.GlxJX0ISmdoIdw3n-Fb2TA,"(0.04284146430452382, 7.180267483422714e-05, 0.5481627384840251, 0.00016615038608796344, 3.246105910979448e-05, 0.4087253830914192)"
tb.1.ae98b69b.fN5bYM7kTnH4Wlj70D6yMA,"(0.00011339699190996092, 0.07072527386924128, 8.250518276593832e-09, 0.8862129614292683, 0.025024082666497482, 0.017924276792564683)"
tb.1.aeede7c0.TGG_YPjels4nC2PZIquf4g,"(0.6946841194054179, 0.00010686164009105811, 0.014515982540306623, 0.2586758187506811, 0.026627491484022284, 0.005389726179481077)"
tb.1.afb0ab11.0kMTRiR7l5TVQRLMbtacSg,"(0.7760524764169234, 0.15206899971898943, 0.04929829493503418, 0.02240118507784021, 9.813437964257258e-05, 8.090947157016808e-05)"
tb.1.afd48e65.WNat216qI4_18sKV-sZ1IQ,"(0.050355790551495985, 0.010710556285323332, 0.016755075353829123, 0.5286001600736612, 0.366129129935584, 0.027449287800106317)"
tb.1.b098559e.3v4BD0VJrSHk4ybH3rz48g,"(0.05276085352370648, 0.47588315932431013, 0.018909196881317224, 4.1677926866978615e-05, 0.4523283642344791, 7.674810932025027e-05)"
tb.1.b0e06cc0.PQvHYrNMVczY_jFEdgMHjQ,"(0.008103267550440517, 0.018436867372107885, 0.03821271589518465, 0.8794120958075499, 0.050417009038773164, 0.005418044335944058)"
tb.1.b0f6daa1.BRzLmf83cmRPVYnGTdB7kw,"(0.0553762375569008, 0.12643776936327972, 0.22274903536488297, 0.38775239605964246, 0.16917737929984686, 0.038507182355447214)"
tb.1.b1565fd1.Poipzl_0MIThLhBpPtH8aw,"(0.1730019608105628, 0.12375601559056534, 0.19297268354771158, 0.13595386933272774, 0.29055719739300856, 0.08375827332542406)"
tb.1.b1de430b.6jMvrb1BMX60leJbDbSZ2g,"(0.28270906417074265, 0.37833491459724927, 0.03411365259695993, 0.11808297806878544, 0.1352465663439676, 0.05151282422229509)"
tb.1.b1e58a26.M7A190uxa99j7eS02juVfg,"(0.014505728217154751, 0.0049714758937646755, 0.015284766561392323, 0.965220516018042, 1.2589730769317313e-05, 4.9235788768107916e-06)"
tb.1.b2ad9d57.ID1rhttJpjiNWNH3uwsgtw,"(3.256612636391247e-08, 6.327584559148531e-05, 3.533960850937913e-08, 6.238746582610736e-06, 0.42771079211277435, 0.5722196253893167)"
tb.1.b2e686fc.erowEPjXiIWguEG7jd-75Q,"(0.08892988623945483, 0.1983588730798951, 0.4834875871526905, 0.03647074730181256, 0.14552844589378924, 0.04722446033235779)"
tb.1.b340fe03.7ZWQBnqEUSHWNxzbElr86A,"(0.06408914569695988, 2.9928306973119227e-06, 2.7156171524068527e-05, 0.9355153016329234, 0.00023462562401190944, 0.00013077804388337194)"
tb.1.b3bb9739.eFMMqXbNWeGDsS_ZMX6ZeA,"(0.043451831941669995, 0.08723815152049783, 0.23074418064754057, 0.22744067895187758, 0.2145490251660393, 0.19657613177237482)"
tb.1.b3d6465b.fqpMnau-ew-cG5iLm3MyJg,"(0.06317895644921856, 0.08261551906992232, 0.10853229409880241, 0.6082337945070623, 0.037953354386479704, 0.0994860814885147)"
tb.1.b4c382da.Cc3GrHXyUMJ8HER5TwdIHw,"(0.2772770272637399, 0.04777621308572306, 0.2673310507809431, 0.2739941955094229, 0.08942846386055726, 0.04419304949961374)"
