portrait,time,thread_id
tb.1.4e9b137f.7Qd5SRhqozy5puuh6nf_jA,6/11/2016 13:21:00,4834441026.0
tb.1.9eba4251.7EV-IfX7su8QIJVg9S0n6g,2/2/2017 21:49:00,4960742511.0
tb.1.5c415646.X6qfwAyyZ3W2PXytJJCpKA,6/2/2017 08:50:00,4967505855.0
tb.1.3bab6747.vMDt-XVf7S2WZXfJK1Me7A,19/2/2017 09:41:00,4984182301.0
tb.1.3bab6747.vMDt-XVf7S2WZXfJK1Me7A,19/2/2017 09:42:00,4984182301.0
tb.1.c2b1cba2.4vQZhaDpz4H_KUsmMo-8rg,19/2/2017 18:38:00,4942278027.0
tb.1.627bb978.z53_DfCN7W8ukUtacWgLsg,19/2/2017 20:37:00,4984150914.0
tb.1.442a421c.knTwt80QOk_krUC2iRO--w,27/2/2017 23:22:00,4988297648.0
tb.1.84c94396.qVcQKrOrKZpD3pl_5ap5OQ,12/3/2017 18:42:00,5011694722.0
tb.1.642819ad.tPhGNrFwpvmad3aR5OWu6Q,19/3/2017 09:35:00,5023339344.0
tb.1.642819ad.tPhGNrFwpvmad3aR5OWu6Q,19/3/2017 11:30:00,5023339344.0
tb.1.642819ad.tPhGNrFwpvmad3aR5OWu6Q,19/3/2017 12:58:00,5023339344.0
tb.1.11909459.9mNfIFHhZ0tkbriXLlwbDQ,25/4/2017 09:45:00,5088559190.0
tb.1.11909459.9mNfIFHhZ0tkbriXLlwbDQ,25/4/2017 10:29:00,5088559190.0
tb.1.899e2729.qo1B8H4X-sRy5kb_wGzl4g,18/5/2017 23:10:00,5121232859.0
tb.1.38d5acf4.VXTZdtwZUKbIuUpvKSWsYQ,18/7/2017 09:27:00,5227014392.0
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,18/7/2017 16:31:00,5229901962.0
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,18/7/2017 19:26:00,5229901962.0
tb.1.da984381.OaDnHK0Z3atT6kw40uBRGw,23/7/2017 13:07:00,5237919815.0
tb.1.c1a6fad5.Nm6P8PbLQtTUuUeuXrXvJg,25/7/2017 01:44:00,5239082860.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,25/7/2017 22:21:00,4796236141.0
tb.1.932d6782.5dTrGBddrlE-Mqsbo_cx1Q,28/7/2017 22:19:00,5247604645.0
tb.1.932d6782.5dTrGBddrlE-Mqsbo_cx1Q,28/7/2017 22:31:00,5239082860.0
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,2/8/2017 19:30:00,5229901962.0
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,2/8/2017 19:30:00,5229901962.0
tb.1.4198b2e6.6Otjgj8D-uD7EezolDVnPg,3/8/2017 11:39:00,5255368319.0
tb.1.84c94396.qVcQKrOrKZpD3pl_5ap5OQ,3/8/2017 14:45:00,5255368319.0
tb.1.3255b4ec.SQmyPbZkO6QZuJ8mn90o4g,4/8/2017 18:32:00,5256867556.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,16/8/2017 21:07:00,4796236141.0
tb.1.60afe7d8.dfxQM3OMjF5HFSWyTP30cw,24/8/2017 09:41:00,5287310882.0
tb.1.e66e98a4.3VY0n1FWk0kRM-3tsyGuhQ,27/8/2017 12:08:00,5291653115.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,28/8/2017 10:45:00,4796236141.0
tb.1.cee70bb0.ZnJPaJbo7X8Wvi_1hULmPw,31/8/2017 13:57:00,5296456490.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 09:37:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 09:39:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 09:49:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 10:03:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 10:04:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 10:07:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 10:09:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 10:44:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 14:47:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 15:13:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 17:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 17:23:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 17:36:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/9/2017 17:55:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,18/9/2017 18:05:00,5327130076.0
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,19/9/2017 13:34:00,5330734116.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,19/9/2017 18:34:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/9/2017 18:31:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/9/2017 18:34:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/9/2017 18:36:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/9/2017 19:58:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,21/9/2017 18:17:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,21/9/2017 18:29:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,21/9/2017 22:21:00,5327130076.0
tb.1.d6698781.MNQWWfLmOUlWajrRL6IGLg,21/9/2017 23:23:00,4796236141.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,22/9/2017 18:58:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,22/9/2017 20:01:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,22/9/2017 21:00:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/9/2017 21:06:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/9/2017 21:56:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/9/2017 22:01:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/9/2017 22:04:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 08:52:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 14:27:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 14:31:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 16:18:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 20:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 20:42:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 20:48:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 20:50:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 21:04:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 21:43:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 21:55:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 22:02:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 22:03:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/9/2017 22:08:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/9/2017 17:59:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/9/2017 20:34:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/9/2017 18:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/9/2017 20:29:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/9/2017 21:42:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,27/9/2017 18:19:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,28/9/2017 18:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,29/9/2017 19:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,29/9/2017 20:23:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,2/10/2017 16:37:00,5327130076.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,3/10/2017 02:16:00,4796236141.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,3/10/2017 12:55:00,5327130076.0
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,3/10/2017 14:13:00,5351968467.0
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,3/10/2017 14:58:00,5329109898.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,4/10/2017 14:13:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,4/10/2017 20:19:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,4/10/2017 20:56:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/10/2017 09:55:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/10/2017 18:32:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,6/10/2017 20:26:00,5327130076.0
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,7/10/2017 16:08:00,5329109898.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,7/10/2017 16:11:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,7/10/2017 23:22:00,5327130076.0
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,8/10/2017 18:00:00,5361824587.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,8/10/2017 22:06:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,8/10/2017 22:54:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,8/10/2017 22:56:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,8/10/2017 23:21:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/10/2017 20:10:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/10/2017 23:16:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,10/10/2017 18:15:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,10/10/2017 18:29:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,11/10/2017 19:21:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,13/10/2017 22:02:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,14/10/2017 11:03:00,5327130076.0
tb.1.20706fec.i1DynVZhTTKFpRjiA-zdIQ,17/10/2017 10:01:00,4976285627.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/10/2017 18:39:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,18/10/2017 18:13:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/10/2017 16:26:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,22/10/2017 10:02:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/10/2017 17:17:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/10/2017 17:19:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/10/2017 20:04:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/10/2017 20:43:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/10/2017 17:08:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/10/2017 17:11:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/10/2017 17:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/10/2017 17:52:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,29/10/2017 09:37:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,29/10/2017 18:17:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,1/11/2017 18:11:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/11/2017 09:34:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/11/2017 17:27:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/11/2017 17:28:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/11/2017 19:20:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/11/2017 19:54:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,8/11/2017 17:45:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/11/2017 18:14:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/11/2017 18:48:00,5327130076.0
tb.1.d6698781.MNQWWfLmOUlWajrRL6IGLg,9/11/2017 21:00:00,5330734116.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,11/11/2017 07:05:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,11/11/2017 07:07:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,11/11/2017 20:34:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,12/11/2017 13:30:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,12/11/2017 16:57:00,5327130076.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,13/11/2017 15:18:00,4796236141.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,13/11/2017 17:39:00,5327130076.0
tb.1.875e160f.XfmWeygETBlg2XjNTmfbVg,13/11/2017 22:24:00,5381200130.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,14/11/2017 17:05:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,14/11/2017 18:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,14/11/2017 18:56:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,15/11/2017 17:21:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,16/11/2017 00:39:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,16/11/2017 17:15:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,16/11/2017 18:46:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/11/2017 19:35:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,18/11/2017 07:25:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,18/11/2017 07:26:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,18/11/2017 19:25:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,19/11/2017 10:45:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,19/11/2017 17:36:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,19/11/2017 21:23:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/11/2017 19:49:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,22/11/2017 18:05:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/11/2017 18:05:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/11/2017 18:49:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/11/2017 15:39:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/11/2017 17:18:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/11/2017 07:37:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/11/2017 12:36:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/11/2017 12:50:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/11/2017 13:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,25/11/2017 15:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/11/2017 08:35:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/11/2017 09:25:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/11/2017 13:03:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/11/2017 14:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/11/2017 20:29:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/11/2017 20:30:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,28/11/2017 18:26:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,1/12/2017 17:04:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,2/12/2017 06:45:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,3/12/2017 15:18:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,5/12/2017 19:40:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,7/12/2017 17:52:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,7/12/2017 19:05:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,7/12/2017 19:27:00,5327130076.0
tb.1.38d5acf4.VXTZdtwZUKbIuUpvKSWsYQ,8/12/2017 16:07:00,5470606382.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,8/12/2017 19:09:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 07:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 10:33:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 16:19:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 16:22:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 16:28:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 17:10:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 18:03:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 19:54:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 20:12:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 21:31:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 22:50:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,9/12/2017 23:09:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,10/12/2017 07:13:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,10/12/2017 07:47:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,10/12/2017 12:56:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,11/12/2017 20:34:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,11/12/2017 21:31:00,5327130076.0
tb.1.3d3b474f.kV4BJ2IFbINsoTIjScEHSQ,12/12/2017 10:18:00,5474082382.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,12/12/2017 21:13:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,14/12/2017 21:10:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,16/12/2017 08:08:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,16/12/2017 08:15:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,17/12/2017 14:06:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,19/12/2017 18:17:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,20/12/2017 21:18:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/12/2017 13:40:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,23/12/2017 15:43:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/12/2017 10:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/12/2017 12:15:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,24/12/2017 20:22:00,5327130076.0
tb.1.1e7b98bc.3x5ypqrV9-6iUXpVNgbGbw,25/12/2017 17:40:00,5491953221.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,26/12/2017 17:25:00,4796236141.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,26/12/2017 18:22:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,27/12/2017 19:41:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,27/12/2017 20:46:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,28/12/2017 18:53:00,5327130076.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,29/12/2017 11:14:00,4796236141.0
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,29/12/2017 15:01:00,4796236141.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,29/12/2017 19:58:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,30/12/2017 23:31:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,31/12/2017 09:10:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,31/12/2017 16:18:00,5327130076.0
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,1/1/2018 00:21:00,5327130076.0
