portrait,content_new
tb.1.442a421c.knTwt80QOk_krUC2iRO--w,来自一个老男人的关心哈哈。妹子可以试着去运动。我觉得这样会乐观一点。
tb.1.84c94396.qVcQKrOrKZpD3pl_5ap5OQ,我也是这么熬过来的。现在只是过一天算一天。每天做自己能做好的事情。对以后我不知道该怎么办。
tb.1.642819ad.tPhGNrFwpvmad3aR5OWu6Q,你好吃完药以后多长时间见效呢。
tb.1.642819ad.tPhGNrFwpvmad3aR5OWu6Q,你好。服药几小时以后。就能感觉到药效。
tb.1.11909459.9mNfIFHhZ0tkbriXLlwbDQ,没有吧。你即使不能为别人做些什么。在心里祝福他们也是可以的。
tb.1.11909459.9mNfIFHhZ0tkbriXLlwbDQ,佛祖说。有七种布施。不用花钱。就能得到大果报。眼施。对待父母老师长辈沙门婆罗门。经常慈眉善目。而不是恶眼怒视。这个叫做眼施。来世就能得到清净眼。未来成佛的时候。能够得到天眼以及佛眼。这是第一果报。和颜悦色施。对待父母老师长辈沙门婆罗门。不会板起脸给对方脸色看。而是和颜悦色。如沐春风。那么来世就能得到端正的肤色。未来成佛的时候。得到真金色果报。这是第二果报。三名言辞施。于父母师长沙门婆罗门。出柔软语。非粗恶言。舍身受身。得言语辩了。所可言说。为人信受。未来成佛。得四辩才。是名第三果报。言辞施。对待父母老师长辈沙门婆罗门。说话柔和。不会粗声恶语。来世就会得到辩才。所说的话。别人就愿意相信。未来成佛。得到四种辩才。这是第三果报。四种辩才就是以前说过的四无碍辩。法无碍。义无碍。辞无碍。乐说无碍。四名身施。于父母师长沙门婆罗门。起迎礼拜。是名身施。舍身受身。得端政身。长大之身。人所敬身。未来成佛。身如尼拘陀树。无见顶者。是名第四果报。身施。对待父母老师长辈沙门婆罗门。迎来送往。恭敬礼拜。这个叫做身施。来世得到端正的身体。高大的身体。众人敬仰。未来成佛。身体如同尼拘陀树。没有人能见到你的头顶。这是第四果报。五名心施。虽以上事供养。心不和善。不名为施。善心和善。深生供养。是名心施。舍身受身。得明了心。不痴狂心。未来成佛。得一切种智心。是名心施第五果报。心施。如果你虽然用前面四种方式布施。但是呢。你的心不真诚。皮笑肉不笑。心里不和善。那也算不上布施。如果你以真诚的善心。发自内心的欢喜去供养。那就叫做心施。上次说过那个贫女布施仅有的两块钱。她的善心很多。所以果报也很大。这样的人来世得到明了心。心不会痴狂。未来成佛的时候。得到一切种智。这是第五果报。六名床座施。若见父母师长沙门婆罗门。为敷床座令坐。乃至自以已所自坐。请使令坐。舍身受身。常得尊贵七宝床座。未来成佛。得师子法座。是名第六果报。床座施。对待父母老师长辈沙门婆罗门。为他们安排好的座位和床铺。甚至把自己坐的好座位。让对方来坐。来世常得尊贵的宝座。未来成佛。得到师子法座。这是第六果报。比如你见到父母尊长过来了。就应当起身为他们安排座位。请他们就坐。如果你在公交车上。见到有需要的人士。你也应当主动为他们让座。七名房舍施。前父母师长沙门婆罗门。使屋舍之中得行来坐卧。即名房舍施。舍身受身。得自然宫殿舍宅。未来成佛。得诸禅屋宅。是名第七果报。是名七施。虽不损财物。获大果报。房舍施。为父母老师长辈沙门婆罗门安排妥当的住宿。让他们住得方便。叫做房舍施。来世得到自然的宫殿房屋。未来成佛的时候。得到诸禅定为宅。这是第七果报。以上这七种布施。虽然不用花钱。却能得到大果报。经文出自。西土圣贤撰集。第部。杂宝藏经八卷。元魏沙门吉迦夜共昙曜译。南无本师释迦牟尼佛。南无本师释迦牟尼佛。南无本师释迦牟尼佛。
tb.1.899e2729.qo1B8H4X-sRy5kb_wGzl4g,抑郁症医院是怎么样查的。我怀疑自己有抑郁症。并且我也能够理解你们。我感觉我的状况和你们的有些很像。但没到那么严重。这一点我很清楚。也很理智。
tb.1.38d5acf4.VXTZdtwZUKbIuUpvKSWsYQ,症状。
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,小学到高中成绩一直很好。本科和研究生就读于一所重点。专业也是全国排名前几。高三那年换上抑郁症。离家出走天。高考前一个月才回来。后来开始半年的服药治疗。本科压力小了很多。过得还算比较顺利。保研本校。发现科研实在无力。研二抑郁症复发。申请休学。想知道未来怎么办。不想继续拿硕士学位了。也不想恋爱结婚。想一个人去陌生的城市工作。不知道靠本科学历能参加校招么。
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,之前谈过两次恋爱。发现自己没有爱别人的能力。别人对我好都是一种压力。抑郁症患者都是这样吧。
tb.1.da984381.OaDnHK0Z3atT6kw40uBRGw,真的感觉楼主没抑郁啊。心态挺阳光的。
tb.1.c1a6fad5.Nm6P8PbLQtTUuUeuXrXvJg,哎。不知道怎么说。好好过。感觉你三观挺好的。加油。
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,书签。
tb.1.932d6782.5dTrGBddrlE-Mqsbo_cx1Q,坚强点。如果他对你不好那就努力的强大到不需要他。但是你的宝贝需要你。所以要强大起来去保护你的宝贝。没了妈妈该多难过。
tb.1.932d6782.5dTrGBddrlE-Mqsbo_cx1Q,小学被强奸。当时连强奸和性什么的完全都不懂。甚至家里人到现在都没有发现。他也逍遥法外。完全感受不到亲情友情爱情。
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,现在一个人在小学时期生活过的县城住。最近最开心的事是和高中喜欢过的女生打王者。她本科去了北大。然后又去了加拿大留学。她是知道我的病的。但我们的关系一直很好。
tb.1.a1d3e178.dzvW8pVhRYOGbvaPX9s5Yw,这绝对是最黑暗日子里的一束阳光。
tb.1.4198b2e6.6Otjgj8D-uD7EezolDVnPg,我也睡了十几个小时。
tb.1.84c94396.qVcQKrOrKZpD3pl_5ap5OQ,我没事的时候也是每天特别能睡。但是要是知道明天有事要做到时候了自己就会醒。可能是潜意识里就知道不能睡了吧。
tb.1.3255b4ec.SQmyPbZkO6QZuJ8mn90o4g,军训很好的。锻炼身体。也可以缓解抑郁啊。
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,在不同的地方看见相同的事物也会有不同的心情。这大概是旅途的意义了。吧。
tb.1.60afe7d8.dfxQM3OMjF5HFSWyTP30cw,一起离开吧。
tb.1.e66e98a4.3VY0n1FWk0kRM-3tsyGuhQ,。你真厉害。
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,七夕。愉快。
tb.1.cee70bb0.ZnJPaJbo7X8Wvi_1hULmPw,医生让我不要吃面食。看来我应该是对这个过敏。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,这是个长期帖。记录我每天的抑郁症治疗生活。我年龄不大。初中生。女。大家也可以进来聊聊。平常我上网的时间比较多。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,嗯。说实话。我平常只有在周六周日休息的时候心情才稳定。上学的时候。心里会特别烦躁。我受不了高度压力。所以上学时真的。心里特烦。每天都生不如死。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,昨天下午去同学家玩。结果和她边说笑边写作业。被她奶。了。说实话那种感觉很不好。因为毕竟不是自己奶奶。而且又不在自己家。处境很尴尬。离开她家不是。继续留着也不是。然后我就把作业写完后看她打了一局王者就走了。她很逗逼。所以跟她一起聊天挺开心的。嗯。大概在学校时。最美好的时刻就下课吧。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,就先说一下我的事吧。我从小学开始学习成绩就不好。所以受到的歧视很多。老师都看不起我。我呢。就是那种长得普普通通的女孩。不漂亮。不会让别人觉得我特机灵很活泼那种。上课规规矩矩的坐好。也不和同学说话什么的。老师都会说我虽然成绩不好但很让老师省心之类的。小时候觉得这话没什么的。现在听来。很讽刺。但小学。年级都还好吧。年级开始就心态崩了。数学老师很凶。打手心。扇巴掌。很重的捏别人脸。扔考卷。叫家长之类的。语文老师对我也比较针对。迟到过几次。但那几次都是特别针对我还点名批评的。但我看过班上一个好学生迟到好几次。老师什么也没说。年级。又是分班又是换老师的。刚开始还好。后来有次后面的男生上课说段子。我忍不住笑出来了。老师看到了骂了我几句。从那天之后。就开始针对我了。再然后的事我也不说了。惨到我不想回忆。苦笑。年级。学习成绩更不行了。数学课已经开始几乎都听不懂了。反正也是很惨的。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,上了初中后的事。我无从说起。所以就不说了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,但其实虽然以前的我活的很糟糕。但我现在再来回想。其实也都过去了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,开学后又犯病了。无论怎么睡都睡不够。也不想吃东西。今天心情还好。毕竟是休息日。压力没在学校时那么大。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,正在犹豫要不要补课。拿塔罗牌算了一下。结果不会解牌。苦笑。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,对了。我并没有康复。是在治疗之中的。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,这是。AIR。很喜欢的一部番。有时候我觉得。抽出点时间来看看动漫中的神作也不错。´･。･。很多人心中的神作是。CLANND。但我个人更喜欢。AIR。多一些。可能是因为我更喜欢神尾观铃。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天纠结了一下午到底要不要去补习班。用塔罗牌占卜。让别人帮我解牌。都说去和不去没什么区别。我主要就是怕到时候不耐烦。不想上了。然后又不能不上。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,打算明天让妈妈帮我买盆植物或买个小动物。像仓鼠之类的。身边有个伴。就不会孤独啦。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,嗯。很多人都说。其实有的时候放宽心态。生活也没有那么糟糕。我相信这句话。只不过。目前的我被学习的高压抑制住了。我目前还在治疗之中。并没有康复。记录一下现在每天的生活。我相信我可以好起来。因为患这个病。太痛苦了。我还不能死。就算。看不到未来。但我也不能说放弃就放弃啊。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我决定了。我要去补课。不管有没有效果。我才初中。虽然。厌学。但我还是得试试看吧。我看。通灵之战。一个很厉害的灵媒说。不能过于依赖塔罗牌。未来有无限可能。塔罗牌的结果只是最有可能的一个。所以。我现在过的不好。也未必代表我的未来也很不好啊。我想说一句话。假如再碰不见你们。祝你早。午。晚都安。楚门的世界。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天心情还算可以吧。明天开始肯定就不行了。今天下午计算机课。因为一男生把电脑插头弄掉了黑屏了。提醒他一下。就被老师骂了。还叫我罚站。说实话那种感觉很不好。但好在他帮我澄清了。还被班上一个特拽的小矮子说。真是够了。分不清青红皂白。
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,太要强。什么都想最好。结果。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天的心情也还可以。明天要考试。我还得复习复习。等会作业写完后打算去看。天生一对。据说很好看。女主角长得也挺好看的。脸上的小雀斑蛮可爱的。其实我很喜欢听歌啦。手机铃是。summer。vibe。我个人觉得挺好听的。不过。我明天应该不好过了。最近上课什么东西都听不进去。唉。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天有个很明显的想法。我快疯了。今天依旧是上课什么都没听进去。第一节课语文考试。当时很明显的感觉到喘不上气。就感觉教室里一点空气都没有那种。就像。鱼没了水一样。然后数学课也是迷迷糊糊的。英语课更是一点东西都没听进去。总感觉明天要完。我到现在为止家作几乎没动过。我真的好讨厌去学校。初三了我们学校还要分班。事太多了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,说实话今天又想起来以前五年级时的某件事了。真的历历在目。那事真的。我这辈子都忘不掉。现在想起来。连那时候听到的每个人的声音都在耳边回响。现在想起来腿还是发软的。我差点在数学课上哭出来。莫名其妙的。差一点就哭出来了。硬把眼泪憋了回去。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,快困死啦。唉。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,妈呀作业还有一大堆没写。但却快把我给困死了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我家楼层比较高。每次下午。左右一抬头就能看到鸟在天空成群结队的飞。那些鸟是隔壁那栋楼的一户人家养的。十几年了。每天下午都会看到那些鸟在飞。真的。很感动。我今天特别想养只小宠物。能陪陪我。说实话今天在学校莫名的心态崩了。大概是倒数第二节课的时候吧。真的心态崩了。感觉不想继续待在学校了。我们今天发了昨天考的卷子。因为老师没让写作文。就等于满分嘛。但我忘记没写作文了。卷子发来。那一刹那很明显的手一抖。脑子一片空白。以为是一百分制里的。差点哭出来。后来坐在我前面的男生问我。你多少分。我看了他一眼。没说话。然后他问我同桌。我同桌告诉他了。然后我同桌又反问他。你多少分啊。他说。我当时噗嗤一下就笑出来了。那时候才记起来没写作文。因为我前面那男生成绩特好。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,想到了牙牙的那首。Mad。Hatter。S。what。if。I。m。crazy。The。best。pe。ple。are。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,刚刚出现幻听了。感觉我有点。精神失常。
tb.1.d6698781.MNQWWfLmOUlWajrRL6IGLg,今年第一次哭。因为一个人孤单而哭。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,妈妈下班带了两只小仓鼠回来。但我怕了。看到小仓鼠有点害怕了。怕养不好。怕养到一半没有什么耐心了。怕它咬我。最近我心里是越来越烦躁了。越来越没安全感了。但我还是得克服对小仓鼠的恐惧嘛。希望我能不怕它俩。然后把它们养的白白胖胖的。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,有一只小仓鼠在笼子里挣扎。我很怕。总感觉它呆在笼子里不舒服。一只在爬在爬。总感觉。那个很像老鼠。不像仓鼠。我好怕。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,He。夏俊艾。A。美人为馅。张逸杰饰。夏俊艾。A。代号A。我喜欢张逸杰。因为我喜欢夏俊艾。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,唉。我又一次心态崩了。好困。然而作业并没有写完。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我真的好不希望周六周日结束啊。我的心情只有在周六周日正常。上学时随时都会崩溃。真的很怕哪天在学校突然就哭出来了。眼泪还止不住。我好累啊。真的好累。后天。也就是周一。还要数学考试。我要疯掉了。肯定考不好。下个星期。一定是个很惨的星期。说实话。我对数学测试一点信心也没有。不说。有我就谢谢祖宗保佑了。能不能及格都是个问题。果然还是最讨厌理科了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,真的感觉怎么睡都睡不够。有的时候感觉有座大山压在自己身上。喘不过气来。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,有件事记得特清楚。五年级的时候我学习压力就很大了。而且还经历了很多不好的事。那时候有一次周六。作业我一字没动就睡着了。然后半夜突然醒过来。不是做噩梦之类的。突然醒来的。醒来第一个反应就是。我作业一字没写。那个真的是。太压抑了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,女神。Wednesday。亚当斯一家。克里斯蒂娜。里奇饰。Wednesday。中文名。温斯蒂。星期三。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天很冷。仓鼠在外面客厅里。怕它们也冷。就拿回房间了。然后我写我的作业。它们睡他们的觉。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,怎么说呢。我觉得自己挺残忍的。两只小仓鼠。都拼了命的扒着笼子。咬笼子。感觉在拼命挣扎。但我又不能放生。放生了就等于宣判它们死亡。看着很心疼。但又很无奈。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,作业还没写完。但只能告诉自己。在坚持天。就可以休息天了。加油。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,下午开始。比较胖的那只就一直闭着眼睛趴着。瘦的那只一直在咬笼子。我真的好怕胖点的那只死掉。我奶奶还说什么死掉好。两只一起养麻烦。当时真的。直戳泪点。我在喝药。眼泪水是眼眶里打转。我又不能说什么东西。我真的。好怕。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,第一次觉得我这个家这么病态。如果那只胖的真的死了。恐怕。我又要崩溃了。现在眼泪怎么也止不住。我真的怕了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我以前就知道这个家不对头。爷爷奶奶重男轻女。我爸妈也不说了。我有时候真不懂这两人。但其实我在家中活的还好吧。这次真的觉得。这个家。有点病态。刚刚一看。那只胖的真的死了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我还没给它取名字呢。我还没摸过它。我还没亲手给它喂过食。我还没像我想象中的那样逗它玩呢。我还没给它拍过照片呢。怎么就死了呢。我现在手机里。唯一的一张两只小仓鼠在一起的照片。就是两人窝在一起睡觉了。以后。再也没有另一只了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,对不起呢。小仓鼠。真的很对不起。我就不该把你们买来的。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,突然开始害怕黎明了啊。明天永远都不要来了。我这个状态真的不能去学校。真的不能。这种感觉。真的比痛更痛。我本来挑了套很好看的衣服。希望能从早上开始保持开心。但是。遇上了这种事。我真的不能去学校了。真的不能。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我想。我已经把我所有所有的勇气都用完了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,简直是雪上加霜。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,还在哭。真的泪崩了。好想我的小仓鼠。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,。CLANND。里说。能哭的地方。只有厕所和爸爸的怀里。而我能哭的地方只有空荡荡的房间。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今早我们这里下雨了。下的很大很大。鞋子裤子书包和外套的一还有书包里的书都湿了。因为我是自己走进去的。单行道。汽车不能进。我只好自己走。回家一看脚上都是那种鞋子进水的染色。第一节英语课。真的崩溃了。很难受。身上湿的。比较冷。我本来就感冒了。脑子里就一团乱。当时真的什么都听不进去了。然后我们英语老师抽背课文我又什么都记不起来。还真抽到我了。说不过关。但我已经无所谓了。然后上课时又总想起来小仓鼠死掉了。眼泪止不住。就是上课听着听着想到了小仓鼠就哭出来了。好几次呢。都硬把眼泪憋回去了。然后数学课。数学课作我拿了个不及格。因为没按照老师的方法写。所以基本上全错了。就对了三四个。当时一打开手一抖。愣了好几秒。然后皱着眉头开始问旁边的人格式。下午还可以。因为下雨。体育课。信息课都没上成。我写了一半的作业。心里好些了。然后因为雨下笑了。说是为了不硬挤啊之类的。家长到教室来接可以早点。然后只有我们班提早了。因为我们班最后一节是美术。我是第三个走的。美滋滋。但我明天要数学考试了。估计要完蛋。说实话。我这种人并不适合去学校。真的不适合。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我貌似又开始抑郁症发作了。暴饮暴食。怎么睡都睡不够。哭的莫名其妙。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我这种人是真的不大适合去学校。真的。小时候的我。挺文静的一个小女孩。比较内向。喜欢自己安安静静地看会书啊之类的。三年级。被班上一个特小鸡肚肠的女孩带坏了。从此。我开始迷失方向了。五年级的时候。作业不写。上课讲话。逃体育课。我发现我比以前外向了。但很明显。我的这种。外向。还不如内向点好。六年级。老师让我们取英文名。我在老师给的单子上选了个英文名。Alice。Alice。意思为。不受拘束的灵魂。今天又是很崩溃的一天吧。不出意外的是。数学考试我真的考砸了。分数还没出来。但我知道。考的不会好。不及格的可能性很大。但我做好思想准备了。确保不会在课堂上哭出来。放学的时候。我爷爷接我。他问我。数学开始多少分啊。有没有。当时我差点崩溃。说实话还好平常我家人不是特别特别限制我的学习。因为我爸妈都知道我的情况。如果哪天我想努力学习。我肯定能学好。但我还是很无药可救的讨厌学习。如果说我爸妈给我报了一堆课外补习班。每天逼着我给我做卷子。我早就自杀了。这次考试。我真没把握。思想工作都做好了。不及格应该也不会伤心过度。及格就行。但我并没有那个把握。有的时候真想睡一觉。然后。就永远醒不来了。把那一场美梦永远做下去。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,感冒了。比较严重。我很没安全感。小时候。家人在身边就足够有安全感了。长大后。就算身边全是人。我也没有安全感。每时每刻都被不安的感觉包围着。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,很难受。可能是因为生病吧。总而言之。真的很难受。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,数学考试成绩出来了。还好。及格了。说实话上了初中后的我经常不知道及格是啥了。因为不及格太多次了。而且我摊上事了。被数学老师盯上了。之前作业错了很多。被老师记住了名字。然后。开始一发不可收拾。今天中午交作业时他还跟我说。你的数学考卷。都错的。这下完了。真摊上事了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天依然很累。感冒咳嗽加重了。嗓子很痒。鼻塞。很难受。心情还算可以吧。就是作业很多。我不想写。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,又是很崩溃的一天吧。中午的时候坐在我前面的男生就因为我掐了他一下就开始发脾气。说什么我把他筋掐歪了。一个劲的骂我。太扯了。说我什么傻。骂我猪。还骂了一整个中午呢。他没事找事来惹我。我掐了他一下。我知道我掐的很轻。而且还是上午掐的。他生龙活虎了一整个上午。中午突然发神经说疼。还威胁我说什么。下次你再敢碰我。我让你不得好死。之类的。威风给谁看啊。他边写作业边骂我。我都只是撇他几眼。他说什么。你给我等着。我跟你没完。我也只是特别淡定的说。嗯。我等着。你来吧。作业多得要命。心里烦死了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,有时候真觉得有的人可笑。只顾着推卸责任。责怪他人。从来不想想自己有没有做错。说白了就是三观不正。我长这么大。见过的三观不正的人凑起来都能跟一个班级的人达成正比了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,昨天晚上做梦居然梦见自己割腕自杀了。放假中。心情很好。
tb.1.9ebd56dd.n54Z4ymwrH-6vUcVClsHDg,hey。十一走向了哪里。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,中午吃了外卖。边看喜欢的俄罗斯通灵节目边吃的。打算晚上跟作业做个殊死拼搏。然后嗨个两三天。嗯因为我平常上学时心情都很不好。心里很堵。所以放假的时光我很珍惜吧。
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,我怕疼。
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,初三实在上不去了。休学了。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,今天很冷。有点冬天的感觉。在室内都很冷了。我真希望冬天能慢点到来。我不喜欢冬天。因为很多原因吧。当然很大一部分原因在于我曾经的不好的回忆是在冬天发生的。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,从外面回来了。虽然已经回来了半小时了。今天真的很冷。和舅舅。父母。外公一起去吃了火锅。还吃了个冰淇淋。还有天了。放假。可以说现在心里堵得慌吧。作业一个字都没有写。我真的很讨厌去学校。但又不得不去。如果考高中没考上。那我就打算不读了。去外面先试试看找工作。而且高中压力大。我觉得我可能更加受不了。心情有点低落。不想继续念书了。怎么说呢。在学校没什么朋友。又嫌作业又多又难。很累。压力很大。我们初三要分班。我心里其实挺难受的。当初小升初孤单了很长一段时间才和几个女孩聊天。现在作业一个字都没写。我不喜欢中国式教育。我很羡慕美国啊。加拿大啊那些地方。那边的教育方式跟我们截然不同。但到了大学会很苦。被压力压的喘不上气来呢。
tb.1.225b909b.j-KMbfnKUjVoksaJCqZZ6Q,我不希望冬天来到。就像我不希望夏天结束那样。
